_id,name,image,calories,protein,carbs,fat,preferences[0],preferences[1],preferences[2],restrictions[0],restrictions[1],context.mealTime[0],context.mealTime[1],context.mealTime[2],context.season,context.weather[0],context.weather[1],ingredients[0].name,ingredients[1].name,ingredients[2].name,ingredients[3].name,ingredients[4].name,ingredients[0].quantity,ingredients[1].quantity,ingredients[2].quantity,ingredients[3].quantity,ingredients[4].quantity,ingredients[0].unit,ingredients[1].unit,ingredients[2].unit,ingredients[3].unit,ingredients[4].unit,instructions[0],instructions[1],instructions[2],instructions[3],instructions[4],context.season[0],context.season[1]
683c99140410126eb2b9efaa,Cơm gạo lứt với cá hồi,/images/foods/brown-rice-salmon.jpg,450,30,45,20,healthy,high_protein,omega3,low_sodium,,lunch,dinner,,all,all,,Cá hồi,Gạo lứt,Bông cải xanh,Cà rốt,Dầu ô liu,150,100,100,50,1,g,g,g,g,muỗng canh,Nấu gạo lứt với tỷ lệ 1:2 (gạo:nước),Áp chảo cá hồi với dầu ô liu,Hấp bông cải và cà rốt,Trang trí và thưởng thức,,,
683c99140410126eb2b9efab,Bún gạo lứt với thịt gà,/images/foods/brown-rice-noodles-chicken.jpg,400,25,50,15,healthy,high_protein,,low_sugar,,lunch,dinner,,all,all,,Bún gạo lứt,Ức gà,Rau sống,Nước mắm,Chanh,200,150,100,2,1,g,g,g,muỗng canh,quả,Luộc bún gạo lứt,Áp chảo ức gà với gia vị,Rửa sạch rau sống,Pha nước mắm chua ngọt,Trộn đều và thưởng thức,,
683c99140410126eb2b9efac,Cơm gạo lứt với đậu hũ sốt cà chua,/images/foods/brown-rice-tofu-tomato.jpg,380,15,55,12,vegan,healthy,,low_sugar,,lunch,dinner,,all,all,,Gạo lứt,Đậu hũ,Cà chua,Hành tây,Dầu ô liu,100,200,200,50,1,g,g,g,g,muỗng canh,Nấu gạo lứt,Chiên đậu hũ vàng,Xào cà chua với hành tây,Nấu sốt cà chua với đậu hũ,Ăn kèm cơm gạo lứt,,
683c99140410126eb2b9efad,Mì gạo lứt với thịt bò xào rau,/images/foods/brown-rice-noodles-beef.jpg,420,28,48,18,high_protein,healthy,,low_sugar,,lunch,dinner,,all,all,,Mì gạo lứt,Thịt bò,Rau cải,Nước tương,Dầu mè,200,150,200,2,1,g,g,g,muỗng canh,muỗng canh,Luộc mì gạo lứt,Xào thịt bò với gia vị,Xào rau cải,Trộn đều với nước sốt,Trang trí và thưởng thức,,
683c99140410126eb2b9efae,Cơm gạo lứt với cá basa nướng,/images/foods/brown-rice-basa-fish.jpg,400,25,45,15,healthy,high_protein,,low_sugar,,lunch,dinner,,all,all,,Gạo lứt,Cá basa,Rau muống,Nước mắm,Chanh,100,200,200,2,1,g,g,g,muỗng canh,quả,Nấu gạo lứt,Ướp cá với gia vị,Nướng cá ở 180°C,Xào rau muống,Ăn kèm nước mắm chua ngọt,,
683c99140410126eb2b9efaf,Ức gà nướng sốt mật ong,/images/foods/honey-glazed-chicken.jpg,350,40,20,15,high_protein,healthy,,low_sugar,,lunch,dinner,,all,all,,Ức gà,Mật ong,Tỏi,Gừng,Nước tương,200,15,10,5,10,g,ml,g,g,ml,"Ướp gà với mật ong, tỏi, gừng và nước tương",Để ướp 30 phút,Nướng ở 180°C trong 20-25 phút,Kiểm tra độ chín và thưởng thức,,,
683c99140410126eb2b9efb0,Cá hồi áp chảo sốt chanh dây,/images/foods/pan-seared-salmon.jpg,380,35,15,22,high_protein,omega3,healthy,low_sugar,,lunch,dinner,,all,all,,Cá hồi,Chanh dây,Dầu ô liu,Hành tây,Gừng,200,2,1,30,5,g,quả,muỗng canh,g,g,Áp chảo cá hồi với dầu ô liu,Làm sốt chanh dây với hành tây và gừng,Rưới sốt lên cá,Trang trí và thưởng thức,,,
683c99140410126eb2b9efb1,Đậu hũ sốt nấm,/images/foods/tofu-mushroom.jpg,250,18,20,12,vegan,healthy,,low_sugar,,lunch,dinner,,all,all,,Đậu hũ,Nấm đông cô,Nấm bào ngư,Nước tương,Hành lá,200,100,100,2,20,g,g,g,muỗng canh,g,Chiên đậu hũ vàng,Xào nấm với gia vị,Nấu sốt với nước tương,Trang trí với hành lá,Thưởng thức,,
683c99140410126eb2b9efb2,Salad đậu hũ non,/images/foods/tofu-salad.jpg,250,15,20,12,vegan,healthy,,low_sugar,,lunch,dinner,,,hot,,Đậu hũ non,Rau xà lách,Cà chua bi,Dầu ô liu,Giấm balsamic,200,100,50,1,1,g,g,g,muỗng canh,muỗng canh,Cắt đậu hũ thành miếng vuông,Rửa và cắt rau,Trộn đều với dầu ô liu và giấm,Trang trí và thưởng thức,,spring,summer
683c99140410126eb2b9efb3,Rau cải xào tỏi,/images/foods/garlic-greens.jpg,120,5,15,6,vegan,healthy,,low_sugar,,lunch,dinner,,all,all,,Rau cải,Tỏi,Dầu ô liu,Muối,Tiêu,300,20,1,1,0.5,g,g,muỗng canh,muỗng cà phê,muỗng cà phê,Rửa và cắt rau,Băm nhỏ tỏi,Xào tỏi thơm,Xào rau với gia vị,Thưởng thức,,
683c99140410126eb2b9efb4,Súp gà nấm,/images/foods/chicken-mushroom-soup.jpg,280,25,20,12,healthy,high_protein,,low_sodium,,lunch,dinner,,,cold,rainy,Ức gà,Nấm đông cô,Nấm bào ngư,Hành tây,Gừng,150,100,100,50,10,g,g,g,g,g,Nấu nước dùng gà,Thêm nấm và gia vị,Nấu đến khi nấm chín,Thêm hành lá và thưởng thức,,winter,fall
683c99140410126eb2b9efb5,Canh rau cải thịt bò,/images/foods/beef-vegetable-soup.jpg,250,20,15,10,healthy,high_protein,,low_sodium,,lunch,dinner,,all,all,,Thịt bò,Rau cải,Cà rốt,Hành lá,Gừng,100,200,50,20,5,g,g,g,g,g,Nấu nước dùng với gừng,Thêm thịt bò,"Khi thịt chín, thêm rau",Nêm gia vị và thưởng thức,,,
683c99140410126eb2b9efb6,Yến mạch với trái cây,/images/foods/oatmeal-fruits.jpg,320,12,55,8,healthy,vegan,,low_sugar,,breakfast,,,all,all,,Yến mạch,Sữa hạnh nhân,Chuối,Dâu tây,Hạt chia,50,200,1,50,10,g,ml,quả,g,g,Nấu yến mạch với sữa hạnh nhân,Cắt trái cây,Trang trí với trái cây và hạt chia,Thưởng thức,,,
683c99140410126eb2b9efb7,Trứng ốp la với bánh mì nguyên cám,/images/foods/eggs-whole-grain-bread.jpg,350,20,30,15,high_protein,healthy,,low_sugar,,breakfast,,,all,all,,Trứng,Bánh mì nguyên cám,Bơ,Rau xà lách,Cà chua,2,2,10,50,50,quả,lát,g,g,g,Chiên trứng ốp la,Nướng bánh mì,Rửa và cắt rau,Trang trí và thưởng thức,,,
683c99140410126eb2b9efb8,Sữa chua với granola và trái cây,/images/foods/yogurt-granola-fruits.jpg,250,15,30,8,healthy,high_protein,,low_sugar,,dessert,snack,,all,all,,Sữa chua Hy Lạp,Granola,Dâu tây,Mật ong,Hạt hạnh nhân,200,30,50,5,10,g,g,g,ml,g,Cho sữa chua vào bát,Thêm granola và trái cây,Rưới mật ong,Trang trí với hạt và thưởng thức,,,
683c99140410126eb2b9efb9,Sinh tố trái cây và rau xanh,/images/foods/green-smoothie.jpg,200,8,35,5,healthy,vegan,,low_sugar,,snack,dessert,,,hot,,Rau bina,Chuối,Táo,Sữa hạnh nhân,Hạt chia,50,1,1,200,10,g,quả,quả,ml,g,Rửa sạch rau và trái cây,Cắt nhỏ trái cây,Xay nhuyễn tất cả nguyên liệu,Thêm hạt chia và thưởng thức,,spring,summer
683c99140410126eb2b9efba,Cơm gạo lứt với thịt bò xào bông cải,/images/foods/brown-rice-beef-broccoli.jpg,420,30,45,18,high_protein,healthy,,low_sugar,,lunch,dinner,,all,all,,Gạo lứt,Thịt bò,Bông cải xanh,Nước tương,Dầu mè,100,150,150,2,1,g,g,g,muỗng canh,muỗng canh,Nấu gạo lứt,Xào thịt bò với gia vị,Xào bông cải,Trộn đều và thưởng thức,,,
683c99140410126eb2b9efbb,Mì gạo lứt với tôm và rau củ,/images/foods/brown-rice-noodles-shrimp.jpg,380,25,48,12,healthy,high_protein,,low_sugar,,lunch,dinner,,all,all,,Mì gạo lứt,Tôm,Cà rốt,Đậu que,Nước tương,200,150,50,50,2,g,g,g,g,muỗng canh,Luộc mì gạo lứt,Xào tôm với gia vị,Xào rau củ,Trộn đều và thưởng thức,,,
683c99140410126eb2b9efbc,Cá ngừ áp chảo sốt cam,/images/foods/pan-seared-tuna-orange.jpg,350,40,15,18,high_protein,omega3,healthy,low_sugar,,lunch,dinner,,all,all,,Cá ngừ,Cam,Dầu ô liu,Hành tây,Gừng,200,1,1,30,5,g,quả,muỗng canh,g,g,Áp chảo cá ngừ với dầu ô liu,Làm sốt cam với hành tây và gừng,Rưới sốt lên cá,Trang trí và thưởng thức,,,
683c99140410126eb2b9efbd,Đậu hũ sốt đậu phộng,/images/foods/tofu-peanut-sauce.jpg,280,20,25,15,vegan,healthy,,low_sugar,,lunch,dinner,,all,all,,Đậu hũ,Bơ đậu phộng,Nước tương,Hành lá,Ớt,200,30,2,20,5,g,g,muỗng canh,g,g,Chiên đậu hũ vàng,Làm sốt đậu phộng với nước tương,Rưới sốt lên đậu hũ,Trang trí với hành lá và ớt,Thưởng thức,,
683c99140410126eb2b9efbe,Salad cá ngừ,/images/foods/tuna-salad.jpg,300,25,20,15,high_protein,healthy,,low_sugar,,lunch,dinner,,,hot,,Cá ngừ,Rau xà lách,Cà chua bi,Dầu ô liu,Giấm balsamic,150,100,50,1,1,g,g,g,muỗng canh,muỗng canh,Áp chảo cá ngừ,Rửa và cắt rau,Trộn đều với dầu ô liu và giấm,Trang trí và thưởng thức,,spring,summer
683c99140410126eb2b9efbf,Rau muống xào tỏi,/images/foods/garlic-water-spinach.jpg,120,5,15,6,vegan,healthy,,low_sugar,,lunch,dinner,,all,all,,Rau muống,Tỏi,Dầu ô liu,Muối,Tiêu,300,20,1,1,0.5,g,g,muỗng canh,muỗng cà phê,muỗng cà phê,Rửa và cắt rau,Băm nhỏ tỏi,Xào tỏi thơm,Xào rau với gia vị,Thưởng thức,,
683c99140410126eb2b9efc0,Súp bí đỏ,/images/foods/pumpkin-soup.jpg,200,8,30,10,vegan,healthy,,low_sugar,,lunch,dinner,,,cold,rainy,Bí đỏ,Hành tây,Sữa hạnh nhân,Gừng,Hạt bí,300,50,200,10,20,g,g,ml,g,g,Nấu bí đỏ với hành tây và gừng,Xay nhuyễn,Thêm sữa hạnh nhân,Trang trí với hạt bí và thưởng thức,,winter,fall
683c99140410126eb2b9efc1,Canh rau cải thịt gà,/images/foods/chicken-vegetable-soup.jpg,250,20,15,10,healthy,high_protein,,low_sodium,,lunch,dinner,,all,all,,Thịt gà,Rau cải,Cà rốt,Hành lá,Gừng,100,200,50,20,5,g,g,g,g,g,Nấu nước dùng với gừng,Thêm thịt gà,"Khi thịt chín, thêm rau",Nêm gia vị và thưởng thức,,,
683c99140410126eb2b9efc2,Bánh mì nguyên cám với trứng và bơ,/images/foods/whole-grain-bread-eggs-avocado.jpg,350,18,30,20,high_protein,healthy,,low_sugar,,breakfast,,,all,all,,Bánh mì nguyên cám,Trứng,Bơ,Rau xà lách,Cà chua,2,2,50,50,50,lát,quả,g,g,g,Nướng bánh mì,Chiên trứng,Cắt bơ và rau,Trang trí và thưởng thức,,,
683c99140410126eb2b9efc3,Yến mạch với sữa chua và trái cây,/images/foods/oatmeal-yogurt-fruits.jpg,320,15,50,10,healthy,high_protein,,low_sugar,,breakfast,,,all,all,,Yến mạch,Sữa chua Hy Lạp,Chuối,Dâu tây,Hạt chia,50,100,1,50,10,g,g,quả,g,g,Nấu yến mạch với sữa hạnh nhân,Cắt trái cây,Trang trí với trái cây và hạt chia,Thưởng thức,,,
683c99140410126eb2b9efc4,Sinh tố dâu tây và chuối,/images/foods/strawberry-banana-smoothie.jpg,250,10,40,8,healthy,vegan,,low_sugar,,snack,dessert,,,hot,,Dâu tây,Chuối,Sữa hạnh nhân,Hạt chia,Mật ong,100,1,200,10,5,g,quả,ml,g,ml,Rửa sạch trái cây,Cắt nhỏ trái cây,Xay nhuyễn tất cả nguyên liệu,Thêm hạt chia và thưởng thức,,spring,summer
683c99140410126eb2b9efc5,Sữa chua với granola và mật ong,/images/foods/yogurt-granola-honey.jpg,280,15,35,10,healthy,high_protein,,low_sugar,,dessert,snack,,all,all,,Sữa chua Hy Lạp,Granola,Mật ong,Hạt hạnh nhân,Quế,200,30,10,10,1,g,g,ml,g,muỗng cà phê,Cho sữa chua vào bát,Thêm granola,Rưới mật ong,Trang trí với hạt và quế,Thưởng thức,,
683c99140410126eb2b9efc6,Cơm gạo lứt với cá thu sốt cà chua,/images/foods/brown-rice-mackerel-tomato.jpg,420,28,45,18,healthy,high_protein,omega3,low_sodium,,lunch,dinner,,all,all,,Cá thu,Gạo lứt,Cà chua,Hành tây,Dầu ô liu,150,100,100,50,1,g,g,g,g,muỗng canh,Nấu gạo lứt,Chiên cá thu,Làm sốt cà chua với hành tây,Ăn kèm cơm gạo lứt,,,
683c99140410126eb2b9efc7,Mì gạo lứt với thịt heo xào nấm,/images/foods/brown-rice-noodles-pork-mushroom.jpg,400,25,48,15,healthy,high_protein,,low_sugar,,lunch,dinner,,all,all,,Mì gạo lứt,Thịt heo,Nấm đông cô,Nấm bào ngư,Nước tương,200,150,100,100,2,g,g,g,g,muỗng canh,Luộc mì gạo lứt,Xào thịt heo với gia vị,Xào nấm,Trộn đều và thưởng thức,,,
683c99140410126eb2b9efc8,Cá basa nướng sốt chanh,/images/foods/baked-basa-lemon.jpg,350,35,15,18,high_protein,healthy,,low_sugar,,lunch,dinner,,all,all,,Cá basa,Chanh,Dầu ô liu,Tỏi,Gừng,200,1,1,10,5,g,quả,muỗng canh,g,g,"Ướp cá với chanh, tỏi, gừng",Nướng ở 180°C,Làm sốt chanh,Rưới sốt lên cá và thưởng thức,,,
683c99140410126eb2b9efc9,Đậu hũ sốt nấm và rau củ,/images/foods/tofu-mushroom-vegetables.jpg,280,18,25,12,vegan,healthy,,low_sugar,,lunch,dinner,,all,all,,Đậu hũ,Nấm đông cô,Cà rốt,Đậu que,Nước tương,200,100,50,50,2,g,g,g,g,muỗng canh,Chiên đậu hũ vàng,Xào nấm và rau củ,Nấu sốt với nước tương,Trang trí và thưởng thức,,,
683c99140410126eb2b9efca,Salad rau củ với sốt mè,/images/foods/vegetable-salad-sesame.jpg,200,8,25,10,vegan,healthy,,low_sugar,,lunch,dinner,,,hot,,Rau xà lách,Cà rốt,Dưa leo,Sốt mè,Hạt mè,100,50,50,2,10,g,g,g,muỗng canh,g,Rửa và cắt rau củ,Trộn đều với sốt mè,Rắc hạt mè lên trên,Thưởng thức,,spring,summer
683c99140410126eb2b9efcb,Rau cải xào nấm,/images/foods/greens-mushroom-stirfry.jpg,150,8,20,7,vegan,healthy,,low_sugar,,lunch,dinner,,all,all,,Rau cải,Nấm đông cô,Tỏi,Dầu ô liu,Nước tương,200,100,10,1,1,g,g,g,muỗng canh,muỗng canh,Rửa và cắt rau,Xào tỏi thơm,Xào nấm và rau,Nêm gia vị và thưởng thức,,,
683c99140410126eb2b9efcc,Súp bí đỏ nấm,/images/foods/pumpkin-mushroom-soup.jpg,220,10,35,8,vegan,healthy,,low_sugar,,lunch,dinner,,,cold,rainy,Bí đỏ,Nấm đông cô,Hành tây,Sữa hạnh nhân,Gừng,300,100,50,200,10,g,g,g,ml,g,Nấu bí đỏ với hành tây và gừng,Thêm nấm,Xay nhuyễn,Thêm sữa hạnh nhân và thưởng thức,,winter,fall
683c99140410126eb2b9efcd,Canh rau cải thịt bò viên,/images/foods/beef-ball-vegetable-soup.jpg,280,22,18,12,healthy,high_protein,,low_sodium,,lunch,dinner,,all,all,,Thịt bò viên,Rau cải,Cà rốt,Hành lá,Gừng,150,200,50,20,5,g,g,g,g,g,Nấu nước dùng với gừng,Thêm thịt bò viên,"Khi thịt chín, thêm rau",Nêm gia vị và thưởng thức,,,
683c99140410126eb2b9efce,Yến mạch với sữa chua và mật ong,/images/foods/oatmeal-yogurt-honey.jpg,300,12,45,10,healthy,high_protein,,low_sugar,,breakfast,,,all,all,,Yến mạch,Sữa chua Hy Lạp,Mật ong,Hạt chia,Quế,50,100,10,10,1,g,g,ml,g,muỗng cà phê,Nấu yến mạch với nước,Thêm sữa chua,Rưới mật ong,Trang trí với hạt chia và quế,Thưởng thức,,
683c99140410126eb2b9efcf,Bánh mì nguyên cám với trứng và rau,/images/foods/whole-grain-bread-eggs-vegetables.jpg,320,18,35,15,high_protein,healthy,,low_sugar,,breakfast,,,all,all,,Bánh mì nguyên cám,Trứng,Rau xà lách,Cà chua,Dầu ô liu,2,2,50,50,1,lát,quả,g,g,muỗng canh,Nướng bánh mì,Chiên trứng,Rửa và cắt rau,Trang trí và thưởng thức,,,
683c99140410126eb2b9efd0,Sinh tố chuối và hạt chia,/images/foods/banana-chia-smoothie.jpg,250,10,35,8,healthy,vegan,,low_sugar,,snack,dessert,,,hot,,Chuối,Sữa hạnh nhân,Hạt chia,Mật ong,Quế,2,200,15,5,1,quả,ml,g,ml,muỗng cà phê,Cắt nhỏ chuối,Xay nhuyễn với sữa hạnh nhân,Thêm hạt chia,Rưới mật ong và rắc quế,Thưởng thức,spring,summer
683c99140410126eb2b9efd1,Sữa chua với trái cây và granola,/images/foods/yogurt-fruits-granola.jpg,280,15,35,10,healthy,high_protein,,low_sugar,,dessert,snack,,all,all,,Sữa chua Hy Lạp,Dâu tây,Chuối,Granola,Mật ong,200,50,1,30,5,g,g,quả,g,ml,Cho sữa chua vào bát,Cắt trái cây,Thêm granola,Rưới mật ong,Thưởng thức,,
683c99140410126eb2b9efd2,Cơm gạo lứt với tôm xào rau củ,/images/foods/brown-rice-shrimp-vegetables.jpg,380,25,45,12,healthy,high_protein,,low_sugar,,lunch,dinner,,all,all,,Gạo lứt,Tôm,Cà rốt,Đậu que,Nước tương,100,150,50,50,2,g,g,g,g,muỗng canh,Nấu gạo lứt,Xào tôm với gia vị,Xào rau củ,Ăn kèm cơm gạo lứt,,,
683c99140410126eb2b9efd3,Mì gạo lứt với thịt gà xào nấm,/images/foods/brown-rice-noodles-chicken-mushroom.jpg,400,28,45,15,healthy,high_protein,,low_sugar,,lunch,dinner,,all,all,,Mì gạo lứt,Ức gà,Nấm đông cô,Nấm bào ngư,Nước tương,200,150,100,100,2,g,g,g,g,muỗng canh,Luộc mì gạo lứt,Xào thịt gà với gia vị,Xào nấm,Trộn đều và thưởng thức,,,
683c99140410126eb2b9efd4,Cá hồi nướng sốt cam,/images/foods/baked-salmon-orange.jpg,380,35,15,20,high_protein,omega3,healthy,low_sugar,,lunch,dinner,,all,all,,Cá hồi,Cam,Dầu ô liu,Hành tây,Gừng,200,1,1,30,5,g,quả,muỗng canh,g,g,Ướp cá với nước cam,Nướng ở 180°C,Làm sốt cam với hành tây và gừng,Rưới sốt lên cá và thưởng thức,,,
683c99140410126eb2b9efd5,Đậu hũ sốt đậu phộng,/images/foods/tofu-peanut-sauce.jpg,280,20,25,15,vegan,healthy,,low_sugar,,lunch,dinner,,all,all,,Đậu hũ,Bơ đậu phộng,Nước tương,Hành lá,Ớt,200,30,2,20,5,g,g,muỗng canh,g,g,Chiên đậu hũ vàng,Làm sốt đậu phộng với nước tương,Rưới sốt lên đậu hũ,Trang trí với hành lá và ớt,Thưởng thức,,
683c99140410126eb2b9efd6,Salad cá ngừ,/images/foods/tuna-salad.jpg,300,25,20,15,high_protein,healthy,,low_sugar,,lunch,dinner,,,hot,,Cá ngừ,Rau xà lách,Cà chua bi,Dầu ô liu,Giấm balsamic,150,100,50,1,1,g,g,g,muỗng canh,muỗng canh,Áp chảo cá ngừ,Rửa và cắt rau,Trộn đều với dầu ô liu và giấm,Trang trí và thưởng thức,,spring,summer
683c99140410126eb2b9efd7,Rau muống xào tỏi,/images/foods/garlic-water-spinach.jpg,120,5,15,6,vegan,healthy,,low_sugar,,lunch,dinner,,all,all,,Rau muống,Tỏi,Dầu ô liu,Muối,Tiêu,300,20,1,1,0.5,g,g,muỗng canh,muỗng cà phê,muỗng cà phê,Rửa và cắt rau,Băm nhỏ tỏi,Xào tỏi thơm,Xào rau với gia vị,Thưởng thức,,
683c99140410126eb2b9efd8,Súp bí đỏ,/images/foods/pumpkin-soup.jpg,200,8,30,10,vegan,healthy,,low_sugar,,lunch,dinner,,,cold,rainy,Bí đỏ,Hành tây,Sữa hạnh nhân,Gừng,Hạt bí,300,50,200,10,20,g,g,ml,g,g,Nấu bí đỏ với hành tây và gừng,Xay nhuyễn,Thêm sữa hạnh nhân,Trang trí với hạt bí và thưởng thức,,winter,fall
683c99140410126eb2b9efd9,Canh rau cải thịt gà,/images/foods/chicken-vegetable-soup.jpg,250,20,15,10,healthy,high_protein,,low_sodium,,lunch,dinner,,all,all,,Thịt gà,Rau cải,Cà rốt,Hành lá,Gừng,100,200,50,20,5,g,g,g,g,g,Nấu nước dùng với gừng,Thêm thịt gà,"Khi thịt chín, thêm rau",Nêm gia vị và thưởng thức,,,
683c99140410126eb2b9efda,Bánh mì nguyên cám với trứng và bơ,/images/foods/whole-grain-bread-eggs-avocado.jpg,350,18,30,20,high_protein,healthy,,low_sugar,,breakfast,,,all,all,,Bánh mì nguyên cám,Trứng,Bơ,Rau xà lách,Cà chua,2,2,50,50,50,lát,quả,g,g,g,Nướng bánh mì,Chiên trứng,Cắt bơ và rau,Trang trí và thưởng thức,,,
683c99140410126eb2b9efdb,Yến mạch với sữa chua và trái cây,/images/foods/oatmeal-yogurt-fruits.jpg,320,15,50,10,healthy,high_protein,,low_sugar,,breakfast,,,all,all,,Yến mạch,Sữa chua Hy Lạp,Chuối,Dâu tây,Hạt chia,50,100,1,50,10,g,g,quả,g,g,Nấu yến mạch với sữa hạnh nhân,Cắt trái cây,Trang trí với trái cây và hạt chia,Thưởng thức,,,
