_id,name,image,calories,protein,carbs,fat,preferences[0],preferences[1],preferences[2],restrictions[0],restrictions[1],context.mealTime[0],context.mealTime[1],context.mealTime[2],context.season,context.weather[0],context.weather[1],ingredients[0].name,ingredients[1].name,ingredients[2].name,ingredients[3].name,ingredients[4].name,ingredients[0].quantity,ingredients[1].quantity,ingredients[2].quantity,ingredients[3].quantity,ingredients[4].quantity,ingredients[0].unit,ingredients[1].unit,ingredients[2].unit,ingredients[3].unit,ingredients[4].unit,instructions[0],instructions[1],instructions[2],instructions[3],instructions[4],context.season[0],context.season[1]
683c99140410126eb2b9efdc,Sinh tố dâu tây và chuối,/images/foods/strawberry-banana-smoothie.jpg,250,10,40,8,healthy,vegan,,low_sugar,,snack,dessert,,,hot,,Dâu tây,Chuối,Sữa hạnh nhân,Hạt chia,Mật ong,100,1,200,10,5,g,quả,ml,g,ml,Rửa sạch trái cây,Cắt nhỏ trái cây,Xay nhuyễn tất cả nguyên liệu,Thêm hạt chia và thưởng thức,,spring,summer
683c99140410126eb2b9efdd,Sữa chua với granola và mật ong,/images/foods/yogurt-granola-honey.jpg,280,15,35,10,healthy,high_protein,,low_sugar,,dessert,snack,,all,all,,Sữa chua Hy Lạp,Granola,Mật ong,Hạt hạnh nhân,Quế,200,30,10,10,1,g,g,ml,g,muỗng cà phê,Cho sữa chua vào bát,Thêm granola,Rưới mật ong,Trang trí với hạt và quế,Thưởng thức,,
683c99140410126eb2b9efde,Cơm gạo lứt với cá thu sốt cà chua,/images/foods/brown-rice-mackerel-tomato.jpg,420,28,45,18,healthy,high_protein,omega3,low_sodium,,lunch,dinner,,all,all,,Cá thu,Gạo lứt,Cà chua,Hành tây,Dầu ô liu,150,100,100,50,1,g,g,g,g,muỗng canh,Nấu gạo lứt,Chiên cá thu,Làm sốt cà chua với hành tây,Ăn kèm cơm gạo lứt,,,
683c99140410126eb2b9efdf,Mì gạo lứt với thịt heo xào nấm,/images/foods/brown-rice-noodles-pork-mushroom.jpg,400,25,48,15,healthy,high_protein,,low_sugar,,lunch,dinner,,all,all,,Mì gạo lứt,Thịt heo,Nấm đông cô,Nấm bào ngư,Nước tương,200,150,100,100,2,g,g,g,g,muỗng canh,Luộc mì gạo lứt,Xào thịt heo với gia vị,Xào nấm,Trộn đều và thưởng thức,,,
683c99140410126eb2b9efe0,Cá basa nướng sốt chanh,/images/foods/baked-basa-lemon.jpg,350,35,15,18,high_protein,healthy,,low_sugar,,lunch,dinner,,all,all,,Cá basa,Chanh,Dầu ô liu,Tỏi,Gừng,200,1,1,10,5,g,quả,muỗng canh,g,g,"Ướp cá với chanh, tỏi, gừng",Nướng ở 180°C,Làm sốt chanh,Rưới sốt lên cá và thưởng thức,,,
683c99140410126eb2b9efe1,Đậu hũ sốt nấm và rau củ,/images/foods/tofu-mushroom-vegetables.jpg,280,18,25,12,vegan,healthy,,low_sugar,,lunch,dinner,,all,all,,Đậu hũ,Nấm đông cô,Cà rốt,Đậu que,Nước tương,200,100,50,50,2,g,g,g,g,muỗng canh,Chiên đậu hũ vàng,Xào nấm và rau củ,Nấu sốt với nước tương,Trang trí và thưởng thức,,,
683c99140410126eb2b9efe2,Salad rau củ với sốt mè,/images/foods/vegetable-salad-sesame.jpg,200,8,25,10,vegan,healthy,,low_sugar,,lunch,dinner,,,hot,,Rau xà lách,Cà rốt,Dưa leo,Sốt mè,Hạt mè,100,50,50,2,10,g,g,g,muỗng canh,g,Rửa và cắt rau củ,Trộn đều với sốt mè,Rắc hạt mè lên trên,Thưởng thức,,spring,summer
683c99140410126eb2b9efe3,Rau cải xào nấm,/images/foods/greens-mushroom-stirfry.jpg,150,8,20,7,vegan,healthy,,low_sugar,,lunch,dinner,,all,all,,Rau cải,Nấm đông cô,Tỏi,Dầu ô liu,Nước tương,200,100,10,1,1,g,g,g,muỗng canh,muỗng canh,Rửa và cắt rau,Xào tỏi thơm,Xào nấm và rau,Nêm gia vị và thưởng thức,,,
683c99140410126eb2b9efe4,Súp bí đỏ nấm,/images/foods/pumpkin-mushroom-soup.jpg,220,10,35,8,vegan,healthy,,low_sugar,,lunch,dinner,,,cold,rainy,Bí đỏ,Nấm đông cô,Hành tây,Sữa hạnh nhân,Gừng,300,100,50,200,10,g,g,g,ml,g,Nấu bí đỏ với hành tây và gừng,Thêm nấm,Xay nhuyễn,Thêm sữa hạnh nhân và thưởng thức,,winter,fall
683c99140410126eb2b9efe5,Canh rau cải thịt bò viên,/images/foods/beef-ball-vegetable-soup.jpg,280,22,18,12,healthy,high_protein,,low_sodium,,lunch,dinner,,all,all,,Thịt bò viên,Rau cải,Cà rốt,Hành lá,Gừng,150,200,50,20,5,g,g,g,g,g,Nấu nước dùng với gừng,Thêm thịt bò viên,"Khi thịt chín, thêm rau",Nêm gia vị và thưởng thức,,,
683c99140410126eb2b9efe6,Yến mạch với sữa chua và mật ong,/images/foods/oatmeal-yogurt-honey.jpg,300,12,45,10,healthy,high_protein,,low_sugar,,breakfast,,,all,all,,Yến mạch,Sữa chua Hy Lạp,Mật ong,Hạt chia,Quế,50,100,10,10,1,g,g,ml,g,muỗng cà phê,Nấu yến mạch với nước,Thêm sữa chua,Rưới mật ong,Trang trí với hạt chia và quế,Thưởng thức,,
683c99140410126eb2b9efe7,Bánh mì nguyên cám với trứng và rau,/images/foods/whole-grain-bread-eggs-vegetables.jpg,320,18,35,15,high_protein,healthy,,low_sugar,,breakfast,,,all,all,,Bánh mì nguyên cám,Trứng,Rau xà lách,Cà chua,Dầu ô liu,2,2,50,50,1,lát,quả,g,g,muỗng canh,Nướng bánh mì,Chiên trứng,Rửa và cắt rau,Trang trí và thưởng thức,,,
683c99140410126eb2b9efe8,Sinh tố chuối và hạt chia,/images/foods/banana-chia-smoothie.jpg,250,10,35,8,healthy,vegan,,low_sugar,,snack,dessert,,,hot,,Chuối,Sữa hạnh nhân,Hạt chia,Mật ong,Quế,2,200,15,5,1,quả,ml,g,ml,muỗng cà phê,Cắt nhỏ chuối,Xay nhuyễn với sữa hạnh nhân,Thêm hạt chia,Rưới mật ong và rắc quế,Thưởng thức,spring,summer
683c99140410126eb2b9efe9,Sữa chua với trái cây và granola,/images/foods/yogurt-fruits-granola.jpg,280,15,35,10,healthy,high_protein,,low_sugar,,dessert,snack,,all,all,,Sữa chua Hy Lạp,Dâu tây,Chuối,Granola,Mật ong,200,50,1,30,5,g,g,quả,g,ml,Cho sữa chua vào bát,Cắt trái cây,Thêm granola,Rưới mật ong,Thưởng thức,,
683c99140410126eb2b9efea,Cơm gạo lứt với tôm xào rau củ,/images/foods/brown-rice-shrimp-vegetables.jpg,380,25,45,12,healthy,high_protein,,low_sugar,,lunch,dinner,,all,all,,Gạo lứt,Tôm,Cà rốt,Đậu que,Nước tương,100,150,50,50,2,g,g,g,g,muỗng canh,Nấu gạo lứt,Xào tôm với gia vị,Xào rau củ,Ăn kèm cơm gạo lứt,,,
683c99140410126eb2b9efeb,Mì gạo lứt với thịt gà xào nấm,/images/foods/brown-rice-noodles-chicken-mushroom.jpg,400,28,45,15,healthy,high_protein,,low_sugar,,lunch,dinner,,all,all,,Mì gạo lứt,Ức gà,Nấm đông cô,Nấm bào ngư,Nước tương,200,150,100,100,2,g,g,g,g,muỗng canh,Luộc mì gạo lứt,Xào thịt gà với gia vị,Xào nấm,Trộn đều và thưởng thức,,,
683c99140410126eb2b9efec,Cá hồi nướng sốt cam,/images/foods/baked-salmon-orange.jpg,380,35,15,20,high_protein,omega3,healthy,low_sugar,,lunch,dinner,,all,all,,Cá hồi,Cam,Dầu ô liu,Hành tây,Gừng,200,1,1,30,5,g,quả,muỗng canh,g,g,Ướp cá với nước cam,Nướng ở 180°C,Làm sốt cam với hành tây và gừng,Rưới sốt lên cá và thưởng thức,,,
683c99140410126eb2b9efed,Đậu hũ sốt đậu phộng,/images/foods/tofu-peanut-sauce.jpg,280,20,25,15,vegan,healthy,,low_sugar,,lunch,dinner,,all,all,,Đậu hũ,Bơ đậu phộng,Nước tương,Hành lá,Ớt,200,30,2,20,5,g,g,muỗng canh,g,g,Chiên đậu hũ vàng,Làm sốt đậu phộng với nước tương,Rưới sốt lên đậu hũ,Trang trí với hành lá và ớt,Thưởng thức,,
683c99140410126eb2b9efee,Salad cá ngừ,/images/foods/tuna-salad.jpg,300,25,20,15,high_protein,healthy,,low_sugar,,lunch,dinner,,,hot,,Cá ngừ,Rau xà lách,Cà chua bi,Dầu ô liu,Giấm balsamic,150,100,50,1,1,g,g,g,muỗng canh,muỗng canh,Áp chảo cá ngừ,Rửa và cắt rau,Trộn đều với dầu ô liu và giấm,Trang trí và thưởng thức,,spring,summer
683c99140410126eb2b9efef,Rau muống xào tỏi,/images/foods/garlic-water-spinach.jpg,120,5,15,6,vegan,healthy,,low_sugar,,lunch,dinner,,all,all,,Rau muống,Tỏi,Dầu ô liu,Muối,Tiêu,300,20,1,1,0.5,g,g,muỗng canh,muỗng cà phê,muỗng cà phê,Rửa và cắt rau,Băm nhỏ tỏi,Xào tỏi thơm,Xào rau với gia vị,Thưởng thức,,
683c99140410126eb2b9eff0,Súp bí đỏ,/images/foods/pumpkin-soup.jpg,200,8,30,10,vegan,healthy,,low_sugar,,lunch,dinner,,,cold,rainy,Bí đỏ,Hành tây,Sữa hạnh nhân,Gừng,Hạt bí,300,50,200,10,20,g,g,ml,g,g,Nấu bí đỏ với hành tây và gừng,Xay nhuyễn,Thêm sữa hạnh nhân,Trang trí với hạt bí và thưởng thức,,winter,fall
683c99140410126eb2b9eff1,Canh rau cải thịt gà,/images/foods/chicken-vegetable-soup.jpg,250,20,15,10,healthy,high_protein,,low_sodium,,lunch,dinner,,all,all,,Thịt gà,Rau cải,Cà rốt,Hành lá,Gừng,100,200,50,20,5,g,g,g,g,g,Nấu nước dùng với gừng,Thêm thịt gà,"Khi thịt chín, thêm rau",Nêm gia vị và thưởng thức,,,
683c99140410126eb2b9eff2,Bánh mì nguyên cám với trứng và bơ,/images/foods/whole-grain-bread-eggs-avocado.jpg,350,18,30,20,high_protein,healthy,,low_sugar,,breakfast,,,all,all,,Bánh mì nguyên cám,Trứng,Bơ,Rau xà lách,Cà chua,2,2,50,50,50,lát,quả,g,g,g,Nướng bánh mì,Chiên trứng,Cắt bơ và rau,Trang trí và thưởng thức,,,
683c99140410126eb2b9eff3,Yến mạch với sữa chua và trái cây,/images/foods/oatmeal-yogurt-fruits.jpg,320,15,50,10,healthy,high_protein,,low_sugar,,breakfast,,,all,all,,Yến mạch,Sữa chua Hy Lạp,Chuối,Dâu tây,Hạt chia,50,100,1,50,10,g,g,quả,g,g,Nấu yến mạch với sữa hạnh nhân,Cắt trái cây,Trang trí với trái cây và hạt chia,Thưởng thức,,,
683c99140410126eb2b9eff4,Sinh tố dâu tây và chuối,/images/foods/strawberry-banana-smoothie.jpg,250,10,40,8,healthy,vegan,,low_sugar,,snack,dessert,,,hot,,Dâu tây,Chuối,Sữa hạnh nhân,Hạt chia,Mật ong,100,1,200,10,5,g,quả,ml,g,ml,Rửa sạch trái cây,Cắt nhỏ trái cây,Xay nhuyễn tất cả nguyên liệu,Thêm hạt chia và thưởng thức,,spring,summer
683c99140410126eb2b9eff5,Sữa chua với granola và mật ong,/images/foods/yogurt-granola-honey.jpg,280,15,35,10,healthy,high_protein,,low_sugar,,dessert,snack,,all,all,,Sữa chua Hy Lạp,Granola,Mật ong,Hạt hạnh nhân,Quế,200,30,10,10,1,g,g,ml,g,muỗng cà phê,Cho sữa chua vào bát,Thêm granola,Rưới mật ong,Trang trí với hạt và quế,Thưởng thức,,
683c99140410126eb2b9eff6,Sữa chua với trái cây và hạt,/images/foods/yogurt-fruits-nuts.jpg,300,18,30,15,healthy,high_protein,,low_sugar,,dessert,snack,,all,all,,Sữa chua Hy Lạp,Táo,Hạt hạnh nhân,Hạt óc chó,Mật ong,200,1,15,15,5,g,quả,g,g,ml,Cho sữa chua vào bát,Cắt táo,Thêm các loại hạt,Rưới mật ong và thưởng thức,,,
683c99140410126eb2b9eff7,Cơm gạo lứt với cá trắm sốt chanh dây,/images/foods/brown-rice-fish-passion-fruit.jpg,400,30,45,15,healthy,high_protein,,low_sugar,,lunch,dinner,,all,all,,Gạo lứt,Cá trắm,Chanh dây,Hành tây,Dầu ô liu,100,200,2,50,1,g,g,quả,g,muỗng canh,Nấu gạo lứt,Chiên cá trắm,Làm sốt chanh dây với hành tây,Ăn kèm cơm gạo lứt,,,
683c99140410126eb2b9eff8,Mì gạo lứt với bò xào rau cải,/images/foods/brown-rice-noodles-beef-greens.jpg,420,30,45,18,healthy,high_protein,,low_sugar,,lunch,dinner,,all,all,,Mì gạo lứt,Thịt bò,Rau cải,Tỏi,Nước tương,200,150,200,20,2,g,g,g,g,muỗng canh,Luộc mì gạo lứt,Xào thịt bò với tỏi,Xào rau cải,Trộn đều và thưởng thức,,,
683c99140410126eb2b9eff9,Cá lóc nướng sốt me,/images/foods/baked-snakehead-fish-tamarind.jpg,350,32,20,16,high_protein,healthy,,low_sugar,,lunch,dinner,,all,all,,Cá lóc,Me,Tỏi,Ớt,Dầu ô liu,250,50,20,10,1,g,g,g,g,muỗng canh,Ướp cá với tỏi và ớt,Nướng ở 180°C,Làm sốt me,Rưới sốt lên cá và thưởng thức,,,
683c99140410126eb2b9effa,Đậu hũ sốt nấm rơm,/images/foods/tofu-straw-mushroom.jpg,250,18,20,12,vegan,healthy,,low_sugar,,lunch,dinner,,all,all,,Đậu hũ,Nấm rơm,Hành tây,Nước tương,Hành lá,200,150,50,2,20,g,g,g,muỗng canh,g,Chiên đậu hũ vàng,Xào nấm rơm với hành tây,Nấu sốt với nước tương,Trang trí với hành lá và thưởng thức,,,
683c99140410126eb2b9effb,Salad rau mầm với sốt mè rang,/images/foods/sprout-salad-roasted-sesame.jpg,180,10,20,8,vegan,healthy,,low_sugar,,lunch,dinner,,,hot,,Rau mầm,Mè rang,Dầu mè,Nước tương,Hành phi,200,20,1,1,10,g,g,muỗng canh,muỗng canh,g,Rửa sạch rau mầm,Làm sốt mè rang,Trộn đều với dầu mè và nước tương,Trang trí với hành phi và thưởng thức,,spring,summer
683c99140410126eb2b9effc,Rau lang xào tỏi,/images/foods/garlic-sweet-potato-leaves.jpg,130,6,18,7,vegan,healthy,,low_sugar,,lunch,dinner,,all,all,,Rau lang,Tỏi,Dầu ô liu,Muối,Tiêu,300,20,1,1,0.5,g,g,muỗng canh,muỗng cà phê,muỗng cà phê,Rửa và cắt rau,Băm nhỏ tỏi,Xào tỏi thơm,Xào rau với gia vị,Thưởng thức,,
683c99140410126eb2b9effd,Súp bí đao nấm,/images/foods/winter-melon-mushroom-soup.jpg,180,8,25,8,vegan,healthy,,low_sugar,,lunch,dinner,,,hot,,Bí đao,Nấm đông cô,Hành tây,Gừng,Hành lá,300,100,50,10,20,g,g,g,g,g,Nấu bí đao với hành tây và gừng,Thêm nấm,Nêm gia vị,Trang trí với hành lá và thưởng thức,,summer,
683c99140410126eb2b9effe,Canh rau ngót thịt bò,/images/foods/beef-sweet-leaf-soup.jpg,260,22,18,12,healthy,high_protein,,low_sodium,,lunch,dinner,,all,all,,Thịt bò,Rau ngót,Hành tây,Hành lá,Gừng,100,200,50,20,5,g,g,g,g,g,Nấu nước dùng với gừng,Thêm thịt bò,"Khi thịt chín, thêm rau",Nêm gia vị và thưởng thức,,,
683c99140410126eb2b9efff,Bánh mì nguyên cám với cá hồi và bơ,/images/foods/whole-grain-bread-salmon-avocado.jpg,380,25,30,22,high_protein,healthy,omega3,low_sugar,,breakfast,,,all,all,,Bánh mì nguyên cám,Cá hồi,Bơ,Rau xà lách,Chanh,2,100,50,50,0.5,lát,g,g,g,quả,Nướng bánh mì,Áp chảo cá hồi,Cắt bơ và rau,Trang trí và thưởng thức,,,
683c99140410126eb2b9f000,Yến mạch với sữa hạnh nhân và trái cây,/images/foods/oatmeal-almond-milk-fruits.jpg,300,12,45,12,healthy,vegan,,low_sugar,,breakfast,,,all,all,,Yến mạch,Sữa hạnh nhân,Táo,Hạt chia,Quế,50,200,1,10,1,g,ml,quả,g,muỗng cà phê,Nấu yến mạch với sữa hạnh nhân,Cắt táo,Thêm hạt chia và quế,Thưởng thức,,,
683c99140410126eb2b9f001,Sinh tố xoài và chuối,/images/foods/mango-banana-smoothie.jpg,280,8,45,10,healthy,vegan,,low_sugar,,snack,dessert,,,hot,,Xoài,Chuối,Sữa hạnh nhân,Hạt chia,Mật ong,150,1,200,10,5,g,quả,ml,g,ml,Cắt nhỏ trái cây,Xay nhuyễn với sữa hạnh nhân,Thêm hạt chia,Rưới mật ong và thưởng thức,,summer,
683c99140410126eb2b9f002,Sữa chua với trái cây và hạt,/images/foods/yogurt-fruits-nuts.jpg,300,18,30,15,healthy,high_protein,,low_sugar,,dessert,snack,,all,all,,Sữa chua Hy Lạp,Táo,Hạt hạnh nhân,Hạt óc chó,Mật ong,200,1,15,15,5,g,quả,g,g,ml,Cho sữa chua vào bát,Cắt táo,Thêm các loại hạt,Rưới mật ong và thưởng thức,,,
683c99140410126eb2b9f003,Cơm gạo lứt với gà xào nấm,/images/foods/brown-rice-chicken-mushroom.jpg,380,28,45,15,healthy,high_protein,,low_sugar,,lunch,dinner,,all,all,,Gạo lứt,Ức gà,Nấm đông cô,Nấm bào ngư,Nước tương,100,150,100,100,2,g,g,g,g,muỗng canh,Nấu gạo lứt,Xào thịt gà với gia vị,Xào nấm,Ăn kèm cơm gạo lứt,,,
683c99140410126eb2b9f004,Mì gạo lứt với tôm xào rau củ,/images/foods/brown-rice-noodles-shrimp-vegetables.jpg,400,25,45,18,healthy,high_protein,,low_sugar,,lunch,dinner,,all,all,,Mì gạo lứt,Tôm,Cà rốt,Đậu que,Nước tương,200,150,50,50,2,g,g,g,g,muỗng canh,Luộc mì gạo lứt,Xào tôm với gia vị,Xào rau củ,Trộn đều và thưởng thức,,,
683c99140410126eb2b9f005,Cá basa nướng sốt chanh dây,/images/foods/baked-basa-passion-fruit.jpg,360,30,18,20,high_protein,healthy,,low_sugar,,lunch,dinner,,all,all,,Cá basa,Chanh dây,Dầu ô liu,Hành tây,Gừng,200,2,1,30,5,g,quả,muỗng canh,g,g,Ướp cá với nước chanh dây,Nướng ở 180°C,Làm sốt chanh dây với hành tây và gừng,Rưới sốt lên cá và thưởng thức,,,
683c99140410126eb2b9f006,Đậu hũ sốt nấm và rau củ,/images/foods/tofu-mushroom-vegetables.jpg,260,18,22,12,vegan,healthy,,low_sugar,,lunch,dinner,,all,all,,Đậu hũ,Nấm đông cô,Cà rốt,Đậu que,Nước tương,200,100,50,50,2,g,g,g,g,muỗng canh,Chiên đậu hũ vàng,Xào nấm và rau củ,Nấu sốt với nước tương,Trang trí và thưởng thức,,,
683c99140410126eb2b9f007,Salad rau củ với sốt mè rang,/images/foods/vegetable-salad-roasted-sesame.jpg,200,8,25,10,vegan,healthy,,low_sugar,,lunch,dinner,,,hot,,Rau xà lách,Cà rốt,Dưa leo,Mè rang,Dầu mè,100,50,50,20,1,g,g,g,g,muỗng canh,Rửa và cắt rau củ,Làm sốt mè rang,Trộn đều với dầu mè,Trang trí và thưởng thức,,spring,summer
683c99140410126eb2b9f008,Rau cải xào tỏi,/images/foods/garlic-greens.jpg,120,5,15,6,vegan,healthy,,low_sugar,,lunch,dinner,,all,all,,Rau cải,Tỏi,Dầu ô liu,Muối,Tiêu,300,20,1,1,0.5,g,g,muỗng canh,muỗng cà phê,muỗng cà phê,Rửa và cắt rau,Băm nhỏ tỏi,Xào tỏi thơm,Xào rau với gia vị,Thưởng thức,,
683c99140410126eb2b9f009,Súp bí đỏ nấm,/images/foods/pumpkin-mushroom-soup.jpg,220,10,35,8,vegan,healthy,,low_sugar,,lunch,dinner,,,cold,rainy,Bí đỏ,Nấm đông cô,Hành tây,Sữa hạnh nhân,Gừng,300,100,50,200,10,g,g,g,ml,g,Nấu bí đỏ với hành tây và gừng,Thêm nấm,Xay nhuyễn,Thêm sữa hạnh nhân và thưởng thức,,winter,fall
683c99140410126eb2b9f00a,Canh rau cải thịt bò viên,/images/foods/beef-ball-vegetable-soup.jpg,280,22,18,12,healthy,high_protein,,low_sodium,,lunch,dinner,,all,all,,Thịt bò viên,Rau cải,Cà rốt,Hành lá,Gừng,150,200,50,20,5,g,g,g,g,g,Nấu nước dùng với gừng,Thêm thịt bò viên,"Khi thịt chín, thêm rau",Nêm gia vị và thưởng thức,,,
683c99140410126eb2b9f00b,Yến mạch với sữa chua và mật ong,/images/foods/oatmeal-yogurt-honey.jpg,300,12,45,10,healthy,high_protein,,low_sugar,,breakfast,,,all,all,,Yến mạch,Sữa chua Hy Lạp,Mật ong,Hạt chia,Quế,50,100,10,10,1,g,g,ml,g,muỗng cà phê,Nấu yến mạch với nước,Thêm sữa chua,Rưới mật ong,Trang trí với hạt chia và quế,Thưởng thức,,
683c99140410126eb2b9f00c,Bánh mì nguyên cám với trứng và rau,/images/foods/whole-grain-bread-eggs-vegetables.jpg,320,18,35,15,high_protein,healthy,,low_sugar,,breakfast,,,all,all,,Bánh mì nguyên cám,Trứng,Rau xà lách,Cà chua,Dầu ô liu,2,2,50,50,1,lát,quả,g,g,muỗng canh,Nướng bánh mì,Chiên trứng,Rửa và cắt rau,Trang trí và thưởng thức,,,
683c99140410126eb2b9f00d,Sinh tố chuối và hạt chia,/images/foods/banana-chia-smoothie.jpg,250,10,35,8,healthy,vegan,,low_sugar,,snack,dessert,,,hot,,Chuối,Sữa hạnh nhân,Hạt chia,Mật ong,Quế,2,200,15,5,1,quả,ml,g,ml,muỗng cà phê,Cắt nhỏ chuối,Xay nhuyễn với sữa hạnh nhân,Thêm hạt chia,Rưới mật ong và rắc quế,Thưởng thức,spring,summer
683c99140410126eb2b9f00e,Cơm gạo lứt với cá hồi nướng sốt cam,/images/foods/brown-rice-baked-salmon-orange.jpg,420,35,45,18,healthy,high_protein,omega3,low_sugar,,lunch,dinner,,all,all,,Gạo lứt,Cá hồi,Cam,Hành tây,Gừng,100,200,1,50,10,g,g,quả,g,g,Nấu gạo lứt,Ướp cá hồi với nước cam,Nướng cá ở 180°C,Làm sốt cam với hành tây và gừng,Ăn kèm cơm gạo lứt,,
683c99140410126eb2b9f00f,Mì gạo lứt với tôm xào rau củ,/images/foods/brown-rice-noodles-shrimp-vegetables.jpg,380,28,42,15,healthy,high_protein,,low_sugar,,lunch,dinner,,all,all,,Mì gạo lứt,Tôm,Cà rốt,Đậu que,Nấm đông cô,200,150,50,50,100,g,g,g,g,g,Luộc mì gạo lứt,Xào tôm với gia vị,Xào rau củ và nấm,Trộn đều và thưởng thức,,,
683c99140410126eb2b9f010,Salad cá ngừ với rau củ,/images/foods/tuna-vegetable-salad.jpg,320,30,20,15,healthy,high_protein,,low_sugar,,lunch,dinner,,,hot,,Cá ngừ,Rau xà lách,Cà chua,Dưa leo,Dầu ô liu,150,100,50,50,1,g,g,g,g,muỗng canh,Áp chảo cá ngừ,Rửa và cắt rau củ,Trộn đều với dầu ô liu,Trang trí và thưởng thức,,spring,summer
